Marital_status,Course,Previous_qualification,Nacionality,Mothers_occupation,Fathers_occupation,Daytime_evening_attendance,Gender,Debtor,Tuition_fees_up_to_date,Scholarship_holder,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Application_order,Enrolled,Status
Single,Oral Hygiene,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,7,7,11.4375,8,8,11.425,4,True,Graduate
Single,Nursing,Secondary education,Portuguese,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Daytime,Female,No,Yes,No,8,7,12.857142857142858,8,7,12.857142857142858,4,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,6,13.375,6,6,12.285714285714286,4,False,Graduate
Single,Nursing,Secondary education,Portuguese,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,7,6,13.296666666666669,8,7,14.114285714285714,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,Yes,Yes,Yes,6,5,11.6,6,4,11.0,1,True,Graduate
Single,Social Service,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,6,6,11.375,6,6,13.285714285714286,2,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,5,5,12.666666666666666,5,4,13.0,1,True,Graduate
Single,Management,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,5,5,12.0,5,5,12.333333333333334,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,Daytime,Male,No,Yes,No,7,6,12.933333333333332,7,6,13.716666666666669,2,True,Graduate
Single,Agronomy,Technological specialization course,Portuguese,Administrative staff,Specialists in Intellectual and Scientific Activities,Daytime,Male,No,Yes,No,6,5,11.857142857142858,6,5,10.571428571428571,1,True,Graduate
Single,Communication Design,Secondary education,Portuguese,Specialists in information and communication technologies (IT),"Specialists in finance, accounting, administrative organization, public and commercial relations",Daytime,Male,No,Yes,No,6,6,12.833333333333334,6,4,13.4,1,False,Graduate
Single,Management,Secondary education,Portuguese,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Male,No,No,No,5,3,11.333333333333334,5,2,13.5,1,True,Dropout
Single,Social Service (evening attendance),Secondary education,Portuguese,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Evening,Female,No,Yes,No,6,6,12.666666666666666,6,6,14.375,1,False,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Intermediate Level Technicians and Professions,Unskilled Workers,Evening,Male,No,Yes,No,5,5,12.4,5,5,13.428571428571429,1,False,Graduate
Single,Biofuel Production Technologies,Secondary education,Portuguese,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Male,Yes,No,No,7,0,0.0,7,1,10.0,1,False,Dropout
Single,Informatics Engineering,11th year of schooling : not completed,Portuguese,Student,Student,Daytime,Male,No,Yes,No,5,0,0.0,5,0,0.0,1,False,Dropout
Single,Management,Secondary education,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,No,5,1,10.0,5,2,12.0,1,False,Dropout
Divorced,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Intermediate Level Technicians and Professions,Evening,Female,No,Yes,No,5,5,11.0,5,5,11.6,1,False,Graduate
Single,Equinculture,Technological specialization course,Spanish,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,Yes,No,No,6,3,11.666666666666666,6,3,12.0,1,False,Dropout
Single,Journalism and Communication,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Female,Yes,Yes,No,6,4,12.75,5,0,0.0,5,False,Dropout
Single,Management,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,5,5,14.8,5,5,15.8,2,False,Graduate
Single,Nursing,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Female,No,Yes,No,7,5,13.928,8,7,14.342857142857142,6,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,No,No,6,4,13.0,6,5,13.8,1,False,Dropout
Single,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Female,No,Yes,No,5,0,0.0,5,0,0.0,1,False,Dropout
Single,Management (evening attendance),Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Evening,Female,No,Yes,No,5,2,11.5,5,3,14.333333333333334,1,True,Dropout
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,6,11.666666666666666,6,5,13.2,2,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,7,6,13.516666666666666,8,7,13.771428571428572,6,False,Graduate
Single,Social Service (evening attendance),Technological specialization course,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Female,No,Yes,Yes,6,6,11.5,6,6,13.285714285714286,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,6,5,12.333333333333334,6,6,12.833333333333334,1,False,Graduate
Single,Tourism,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,6,13.666666666666666,6,6,14.166666666666666,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,Yes,8,6,11.833333333333334,8,6,11.833333333333334,1,True,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,4,14.0,6,3,11.0,1,True,Dropout
Single,Equinculture,Secondary education,Portuguese,Other Situation,Other Situation,Daytime,Female,No,Yes,No,5,5,14.714285714285714,5,5,15.8,3,False,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Female,No,Yes,No,5,5,10.6,5,5,11.0,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,7,7,13.044444444444444,8,8,13.595,1,False,Graduate
Married,Tourism,Higher education : degree,Portuguese,Administrative staff,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Equinculture,Higher education : degree (1st cycle),Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Female,No,Yes,No,6,5,13.0,11,10,12.9,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,Daytime,Female,No,Yes,No,8,8,14.935,8,8,14.935,1,False,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Administrative staff,Unskilled Workers,Daytime,Female,No,Yes,No,0,0,0.0,0,0,0.0,3,True,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,7,6,13.133333333333333,8,7,12.221428571428572,2,False,Graduate
Single,Social Service,Technological specialization course,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,12.0,6,6,12.0,1,False,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,Yes,0,0,0.0,0,0,0.0,3,True,Graduate
Single,Communication Design,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Administrative staff,Daytime,Male,No,Yes,No,6,5,11.4,6,1,10.0,1,True,Dropout
Single,Communication Design,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Daytime,Male,No,Yes,No,6,0,0.0,6,0,0.0,1,True,Dropout
Divorced,Nursing,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Male,No,Yes,No,7,5,11.9,8,5,11.0,1,False,Dropout
Single,Animation and Multimedia Design ,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,Daytime,Male,No,Yes,Yes,0,0,0.0,0,0,0.0,3,False,Graduate
Single,Agronomy,Technological specialization course,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,No,6,6,12.571428571428571,6,6,12.428571428571429,1,False,Graduate
Single,Management,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,Yes,Yes,No,5,5,11.2,5,4,10.75,3,False,Dropout
Single,Tourism,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,Daytime,Male,No,Yes,No,6,6,12.0,6,5,10.8,1,True,Graduate
Single,Management,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Male,No,Yes,No,5,0,0.0,5,0,0.0,1,True,Dropout
Single,Nursing,Secondary education,Portuguese,Installation and Machine Operators and Assembly Workers,Administrative staff,Daytime,Male,No,Yes,No,7,7,11.975,8,8,13.75,1,False,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,Daytime,Male,No,Yes,No,0,0,0.0,0,0,0.0,1,False,Dropout
Single,Tourism,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,No,6,3,11.666666666666666,6,1,12.0,4,False,Dropout
Single,Journalism and Communication,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,No,6,6,12.333333333333334,6,3,12.333333333333334,2,False,Graduate
Single,Management,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,Yes,Yes,No,5,3,10.333333333333334,5,3,10.857142857142858,3,False,Dropout
Single,Tourism,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,Yes,6,4,10.5,6,1,11.0,4,False,Dropout
Single,Journalism and Communication,Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Male,Yes,Yes,Yes,6,6,13.666666666666666,6,6,13.333333333333334,4,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,Yes,7,7,14.842857142857142,8,8,15.055555555555555,4,False,Graduate
Married,Social Service (evening attendance),Secondary education,Portuguese,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Evening,Male,No,Yes,No,6,6,12.0,6,6,11.666666666666666,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,No,6,5,12.2,6,5,12.2,6,False,Dropout
Single,Management (evening attendance),Higher education : bachelor's degree,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Evening,Male,No,Yes,No,1,0,0.0,5,0,0.0,1,False,Dropout
Single,Agronomy,Higher education : master's,Portuguese,Administrative staff,Specialists in Intellectual and Scientific Activities,Daytime,Male,Yes,Yes,No,12,6,12.166666666666666,12,10,13.3,1,False,Dropout
Single,Tourism,Secondary education,Portuguese,Administrative staff,Administrative staff,Daytime,Male,No,Yes,No,5,5,12.0,5,3,11.333333333333334,1,True,Dropout
Married,Social Service (evening attendance),Secondary education,Portuguese,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Evening,Female,No,Yes,No,6,6,11.0,6,5,11.0,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,8,7,13.08,8,7,13.08,1,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,5,4,10.5,5,5,11.6,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Administrative staff,Student,Daytime,Male,No,Yes,No,6,6,10.666666666666666,6,5,11.2,1,False,Graduate
Single,Management,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,No,5,4,14.0,5,5,13.8,6,True,Graduate
Single,Informatics Engineering,Secondary education,Portuguese,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Male,Yes,Yes,No,5,2,10.0,5,0,0.0,2,True,Dropout
Single,Nursing,Secondary education,Portuguese,Administrative staff,Armed Forces Professions,Daytime,Male,No,Yes,No,7,0,0.0,7,0,0.0,1,False,Dropout
Single,Journalism and Communication,Secondary education,Brazilian,Unskilled Workers,Unskilled Workers,Daytime,Female,No,No,No,6,6,14.0,6,6,13.5,2,False,Graduate
Single,Equinculture,Secondary education,Brazilian,Administrative staff,Administrative staff,Daytime,Female,No,Yes,No,6,2,12.0,6,0,0.0,1,False,Dropout
Married,Basic Education,11th year of schooling : not completed,Portuguese,Student,Student,Daytime,Female,No,Yes,No,6,3,12.666666666666666,6,0,0.0,1,False,Dropout
Married,Social Service (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Female,No,Yes,No,8,8,11.875,6,6,12.333333333333334,1,False,Graduate
Single,Informatics Engineering,Secondary education,Santomean,Unskilled Workers,Specialists in Intellectual and Scientific Activities,Daytime,Male,No,Yes,No,5,5,14.0,5,3,13.25,1,True,Dropout
Single,Journalism and Communication,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,6,13.666666666666666,6,6,13.333333333333334,5,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,7,7,13.75,8,8,14.47777777777778,5,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Daytime,Female,No,Yes,No,5,5,14.2,5,5,13.8,1,True,Graduate
Single,Nursing,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Female,Yes,No,No,7,4,11.96,7,0,0.0,4,False,Dropout
Single,Veterinary Nursing,Professional higher technical course,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,10,8,12.875,9,5,13.4,1,False,Dropout
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Unskilled Workers,Armed Forces Professions,Daytime,Female,No,Yes,No,0,0,0.0,0,0,0.0,4,False,Graduate
Married,Social Service (evening attendance),Secondary education,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",Evening,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Divorced,Agronomy,Other : 11th year of schooling,Portuguese,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,No,18,18,14.63157894736842,13,13,14.23076923076923,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Communication Design,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,Daytime,Female,Yes,Yes,No,10,10,13.0,11,11,12.272727272727272,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,2,False,Dropout
Single,Veterinary Nursing,Secondary education,Portuguese,Administrative staff,Administrative staff,Daytime,Female,No,Yes,No,6,4,14.2,6,4,13.25,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,Administrative staff,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,7,6,13.266666666666666,7,5,12.3,5,False,Dropout
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,7,6,11.666666666666666,7,3,13.0,2,True,Dropout
Single,Social Service,Secondary education,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,6,13.857142857142858,6,6,15.0,1,False,Graduate
Single,Management,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,5,3,13.0,5,3,11.0,2,True,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,5,5,13.4,5,5,12.8,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,6,12.666666666666666,6,6,12.571428571428571,3,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,7,6,12.516666666666666,7,6,12.516666666666666,2,False,Dropout
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,7,6,11.616666666666667,7,7,13.0,1,True,Graduate
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,2,10.0,6,4,10.75,1,True,Dropout
Single,Management,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,5,3,10.333333333333334,5,3,10.666666666666666,1,True,Dropout
Single,Veterinary Nursing,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,5,5,13.142857142857142,5,5,11.4,2,False,Graduate
Single,Management,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,5,5,12.6,5,5,14.0,1,False,Graduate
Single,Tourism,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,3,11.0,6,2,11.0,1,False,Dropout
Single,Management,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,5,5,10.8,5,4,11.25,2,False,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Unskilled Workers,Daytime,Female,No,Yes,No,0,0,0.0,0,0,0.0,1,False,Dropout
Single,Advertising and Marketing Management,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,5,5,12.8,5,5,14.2,1,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,6,14.166666666666666,6,6,12.2,1,False,Graduate
Single,Oral Hygiene,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,7,5,12.1,7,0,0.0,6,False,Dropout
Single,Veterinary Nursing,Technological specialization course,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,6,14.166666666666666,6,5,13.77777777777778,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,Yes,6,5,12.8,6,5,13.4,1,True,Graduate
Single,Social Service,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,6,13.0,6,6,13.666666666666666,3,False,Graduate
Single,Nursing,Secondary education,Portuguese,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Daytime,Female,No,Yes,No,7,7,13.467142857142855,8,8,15.011111111111113,6,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,Yes,7,7,13.2375,8,7,13.742857142857144,3,False,Dropout
Single,Communication Design,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,6,12.333333333333334,6,6,13.0,2,False,Graduate
Single,Management,Secondary education,Portuguese,Administrative staff,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,5,5,12.4,5,5,14.6,4,False,Graduate
Single,Nursing,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,7,5,14.0,7,0,0.0,6,False,Dropout
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,9,9,11.666666666666666,7,7,11.714285714285714,1,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Unskilled Workers,Daytime,Female,Yes,No,Yes,6,5,12.0,6,4,12.5,1,False,Dropout
Single,Advertising and Marketing Management,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,5,4,12.2,5,4,11.5,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,"Office workers, secretaries in general and data processing operators","Workers in food processing, woodworking, clothing and other industries and crafts",Daytime,Female,Yes,Yes,Yes,6,6,14.833333333333334,6,6,14.833333333333334,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,7,5,13.188,8,7,12.892857142857142,2,True,Graduate
